Year,Fluid milk,yogurt,Butter,American,Other,Cottage,Canned whole,Bulk whole,Bulk and canned skim,Ice creamRegular,Reduced  fat,Sherbet,other frozen products,dry whole milk,Nonfat dry milk,Dry butter milk,Dry and,Milk equavalent milk-fat basis
1975,247,1.97,4.73,8.15,6.13,4.59,3.95,1.24,3.53,18.21,6.5,1.35,1.82,0.1,3.26,0.2,2.2,539
1976,247,2.13,4.31,8.88,6.63,4.63,3.79,1.1,3.59,17.64,6.17,1.36,1.68,0.2,3.5,0.2,2.4,540
1977,244,2.34,4.29,9.21,6.78,4.62,3.27,1,3.88,17.29,6.57,1.36,1.63,0.2,3.31,0.3,2.4,540
1978,241,2.45,4.35,9.53,7.31,4.6,3.15,0.9,3.47,17.23,6.55,1.29,1.51,0.3,3.1,0.2,2.4,544
1979,238,2.44,4.49,9.6,7.57,4.43,3.12,0.94,3.33,16.94,6.2,1.2,1.41,0.3,3.28,0.2,2.7,548
1980,234,2.5,4.47,9.62,7.9,4.41,2.89,0.88,3.28,17.12,6.05,1.19,1.35,0.3,3.01,0.2,2.7,543
1981,230,2.44,4.24,10.15,8.03,4.27,2.99,1.05,3.16,17,5.94,1.19,1.69,0.4,2.14,0.2,2.7,541
1982,224,2.58,4.35,11.31,8.6,4.16,2.85,1.14,3.02,17.23,5.67,1.18,1.71,0.4,2.12,0.2,2.9,555
1983,223,3.16,4.91,11.61,8.96,4.09,2.76,1.06,3.12,17.67,5.91,1.22,1.71,0.4,2.24,0.2,3.1,573
1984,224,3.55,4.98,11.85,9.62,4.08,2.54,1.19,3.69,17.77,5.96,1.21,1.79,0.4,2.52,0.2,3.2,582
1985,227,3.94,4.87,12.19,10.36,4.03,2.39,1.29,3.82,17.75,5.93,1.21,2.68,0.4,2.26,0.2,3.5,594
1986,226,4.16,4.83,12.12,11,4.03,2.28,1.36,4.28,18.01,6.14,1.24,2.26,0.5,2.45,0.2,3.7,592
1987,223,4.42,4.44,12.4,11.69,3.89,2.28,1.46,4.24,17.93,6.33,1.24,2.28,0.5,2.48,0.2,3.6,601
1988,223,4.69,4.49,11.5,12.21,3.83,2.22,1.28,4.27,16.88,6.79,1.28,2.34,0.6,2.58,0.2,3.5,583
1989,223,3.67,4.43,11.03,12.76,3.53,2.03,1.05,4.72,15.75,7.13,1.28,4.13,0.5,2.13,0.2,3.5,564
1990,220,3.89,4.31,11.13,13.48,3.33,2.23,0.92,4.75,15.4,6.59,1.2,4.98,0.6,2.89,0.19,3.74,568
1991,218,4.1,4.38,11.03,13.9,3.23,2.07,1.08,4.99,15.86,6.28,1.12,5.86,0.4,2.59,0.24,3.57,564
1992,215,4.41,4.32,11.26,14.59,3.06,2.12,1.07,5.21,15.64,5.93,1.16,5.77,0.5,2.85,0.24,3.76,562
1993,210,4.87,4.65,11.31,14.72,2.87,1.94,0.87,5.34,15.45,5.8,1.16,6.54,0.4,2.44,0.19,3.78,569
1994,208,5.22,4.73,11.42,15.13,2.77,1.84,0.7,5.38,15.42,6.31,1.22,6.47,0.4,3.47,0.18,3.79,580
1995,205,6.14,4.61,11.69,14.98,2.67,1.39,0.59,4.49,14.99,6.97,1.2,5.71,0.4,3.41,0.21,4.09,571
1996,205,5.87,4.29,11.81,15.26,2.56,1.37,0.64,4.02,15.09,7,1.17,4.33,0.49,3.73,0.18,3.83,563
1997,201,5.75,4.19,11.82,15.47,2.59,1.75,0.73,3.94,15.53,7.25,1.16,3.86,0.38,3.32,0.19,3.93,565
1998,198,5.93,4.34,11.98,15.63,2.64,1.43,0.53,4.06,15.71,7.55,1.18,4.03,0.44,3.19,0.17,4.04,571
1999,197,6.13,4.61,12.7,16.18,2.58,1.52,0.53,4.4,16.18,7.01,1.17,3.82,0.4,2.68,0.17,4,584
2000,197,6.5,4.48,12.69,16.85,2.6,1.51,0.5,3.82,16.1,6.64,1.1,3.7,0.26,2.65,0.21,3.74,591
2001,193,7.02,4.36,12.8,16.99,2.6,1.54,0.48,3.45,15.77,6.55,1.1,3.09,0.1,3.34,0.17,3.29,586
2002,192,8.02,4.41,12.83,17.4,2.6,1.9,0.44,3.74,16.2,5.8,1.18,3.09,0.19,3.08,0.19,3.35,589
2003,190,8.63,4.45,12.55,17.7,2.65,1.95,0.69,3.3,15.9,6.7,1.11,2.93,0.18,3.37,0.19,3.38,597
2004,187,9.23,4.52,12.87,18.1,2.65,1.67,0.61,3.25,14.62,6.51,1.12,2.91,0.14,4.28,0.17,3.02,595
2005,186,10.34,4.54,12.66,18.66,2.65,1.72,0.62,3.72,15.11,6,1.14,2.95,0.15,4.2,0.22,2.89,604
2006,184,11.07,4.68,13.07,19.1,2.6,1.64,0.62,4.22,15.31,6.12,1.19,3,0.11,3.2,0.25,2.83,613
2007,182,11.55,4.68,12.79,19.88,2.56,1.52,0.56,5.58,14.76,6.12,1.25,3.13,0.16,2.85,0.23,2.26,613
2008,179,11.72,4.98,13.13,19.02,2.34,1.66,0.67,5.11,14.24,6.11,1.14,3.08,0.09,3.05,0.26,2.92,607
2009,179,12.46,4.96,13.36,18.9,2.38,1.66,0.63,4.98,13.92,6.31,1.04,2.51,0.25,3.99,0.24,2.47,608
2010,178,13.44,4.91,13.3,19.42,2.32,1.47,0.49,5.21,13.95,6.48,0.95,2.56,0.21,3.22,0.26,1.89,604.51
2011,174,13.64,5.37,13.03,19.97,2.26,1.48,0.44,5.24,13.21,6.43,0.88,2.78,0.21,3.02,0.3,2.01,604.24
2012,170,14.03,5.5,13.25,20.03,2.26,1.44,0.56,5.34,13.17,6.99,0.84,2.75,0.17,3.62,0.32,2.15,614.83
2013,165,14.93,5.47,13.35,20.08,2.14,1.41,0.47,5.31,13.04,6.03,0.88,3,0.16,2.9,0.39,2.15,607
2014,159,14.85,5.5,13.65,20.49,2.09,0.94,0.46,5.43,12.47,6.19,0.91,2.88,0.2,3.12,0.3,2.24,615.58
2015,156,14.38,5.6,14.03,21.05,2.12,1.35,0.82,5.51,12.86,6.49,0.83,3.06,0.33,3.27,0.33,2.74,629.58
2016,154,13.73,5.69,14.34,22.05,2.15,1.39,0.65,5.39,12.92,6.39,0.82,2.79,0.27,2.98,0.31,2.35,645.06
2017,149,13.72,5.68,15.06,21.87,2.07,1.13,0.61,5.12,12.74,6.65,0.8,2.9,0.37,2.82,0.34,2.24,643.14
