Year,Milk Total Supply (million pounds),Milk Total Utilization (million pounds),Butter Total Supply (million pounds),Butter Total Utilization (million pounds),Nonfat Dry Milk Supply (million pounds),Nonfat Dry Milk Utilization (million pounds),Condensed and Evaporated Milk Supply (million pounds),Condensed and Evaporated Milk Utilization (million pounds),American Cheese Supply (million pounds),American Cheese Utilization (million pounds),Other Than American Cheese Supply (million pounds),Other Than American Cheese Utilization (million pounds),,,,
1980,139238,126112,1325,1020,1651,1064,1022,969,2801,2209,1927,1828,,,,
1981,148225,129673,1536,1107,1904,1014,1082,1035,3254,2365,1963,1876,,,,
1982,156534,136238,1689,1222,2292,1010,1082,1029,3659,2677,2127,2044,,,,
1983,162501,139650,1769,1270,2784,1379,1026,978,3932,2771,2240,2135,,,,
1984,160943,144159,1606,1309,2568,1320,1010,968,3833,2872,2412,2311,,,,
1985,162572,148890,1548,1343,2641,1630,1029,965,3836,2985,2610,2516,,,,
1986,159538,146616,1413,1220,2297,1610,1007,956,3672,2975,2777,2685,,,,
1987,158121,150648,1302,1159,1747,1569,1009,975,3429,3059,2970,2880,,,,
1988 ,154901,146523,1356,1141,1159,1106,972,927,3145,2852,3139,3034,,,,
1989 ,154769,145733,1515,1259,931,881,848,821,2987,2750,3302,3209,,,,
1990 ,159447,146088,1563,1147,930,768,887,828,3152,2805,3535,3425,,,,
1991 ,163681,147841,1757,1217,1040,826,890,854,3137,2818,3673,3575,,,,
1992 ,169208,154994,1909,1461,1089,1008,916,871,3274,2924,3916,3795,,,,
1993 ,167656,158086,1767,1532,1037,947,823,789,3327,2968,3992,3885,,,,
1994 ,166052,160392,1534,1454,1321,1190,780,733,3350,3040,4182,4055,,,,
1995 ,163246,159341,1345,1326,1365,1280,731,699,3462,3155,4159,4054,,,,
1996,160557,156117,1198,1184,1150,1079,716,696,3615,3235,4285,4178,,,,
1997 ,163448,158837,1177,1157,1294,1169,804,772,3691,3280,4371,4301,,,,
1998,166733,161721,1230,1204,1267,1115,676,639,3774,3367,4505,4396,,,,
1999 ,172546,166749,1319,1294,1520,1236,686,650,4044,3586,4776,4613,,,,
2000 ,177683,171150,1297,1273,1743,1081,644,603,4148,3625,5076,4890,,,,
2001,178349,171529,1301,1246,2083,1182,660,619,4138,3689,5205,4994,,,,
2002 ,183030,173388,1429,1271,2508,1362,772,717,4225,3732,5386,5149,,,,
2003 ,186161,177872,1417,1317,2737,1756,868,830,4185,3694,5500,5267,,,,
2004,186148,179242,1383,1338,2395,1883,802,766,4301,3820,5688,5463,,,,
2005,191258,183716,1414,1355,2047,1862,812,767,4335,3799,5900,5678,,,,
2006,196808,187825,1527,1418,1700,1594,763,732,4501,3967,6157,5874,,,,
2007,201815,192042,1658,1503,1608,1442,754,716,4461,3952,6488,6198,,,,
2008 ,205011,195469,1812,1693,2060,1812,829,787,4656,4118,6357,6043,,,,
2009 ,204303,193606,1707,1574,1981,1789,815,771,4782,4197,6433,6051,,,,
2010 ,207617,197531,1705,1623,2009,1864,771,718,4898,4267,6755,6338,,,,
2011 ,209845,199619,1902,1795,2091,1926,748,711,4871,4260,7013,6633,,,,
2012 ,214978,203575,1982,1829,2315,2132,753,715,4991,4356,7155,6767,,,,
2013,216406,206062,2027,1915,2294,2159,760,722,5071,4453,7302,6911,,,,
2014,220770,210283,1992,1887,2449,2209,570,537,5231,4604,7571,7181,,,,
2015,224843,212508,1996,1841,2510,2306,825,782,5360,4659,7834,7389,,,,
2016,231677,218955,2047,1881,2518,2292,782,741,5511,4784,8180,7708,,,,
2017,234165,220726,2071,1903,2592,2272,699,662,5829,5083,8331,7797,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
