Year,Milk Total Supply (million pounds),Milk Total Utilization (million pounds)
1980,139238,126112
1981,148225,129673
1982,156534,136238
1983,162501,139650
1984,160943,144159
1985,162572,148890
1986,159538,146616
1987,158121,150648
1988 ,154901,146523
1989 ,154769,145733
1990 ,159447,146088
1991 ,163681,147841
1992 ,169208,154994
1993 ,167656,158086
1994 ,166052,160392
1995 ,163246,159341
1996,160557,156117
1997 ,163448,158837
1998,166733,161721
1999 ,172546,166749
2000 ,177683,171150
2001,178349,171529
2002 ,183030,173388
2003 ,186161,177872
2004,186148,179242
2005,191258,183716
2006,196808,187825
2007,201815,192042
2008 ,205011,195469
2009 ,204303,193606
2010 ,207617,197531
2011 ,209845,199619
2012 ,214978,203575
2013,216406,206062
2014,220770,210283
2015,224843,212508
2016,231677,218955
2017,234165,220726
,,
